NUM,DESIGNATION,DYN,BD,BD.E,BD.R,RNK,DIAM,D.E,D.R,MASS,M.E,M.R,G,T.T,T.B,L.T,L.B,T.D,C_TAX,C_BD,C_BD.E,C_BD.R,C_RNK
366,Vincentina,MBA,1.66,0.84,51,D,96.0,3.4,4,7.67e+17,3.82e+17,50,-,-,Ch,Caa,Ch,-,-,-,-,-,-
369,Aeria,MBA,3.23,2.10,65,D,57.7,8.0,14,3.25e+17,1.62e+17,50,-,M,-,-,-,-,-,-,-,-,-
372,Palma,MBA,1.65,0.29,18,B,191.3,4.6,2,6.04e+18,9.83e+17,16,-,BFC,B,C,X,-,X,1.4,0.18,13,B
373,Melusina,MBA,1.22,0.75,61,D,92.9,10.9,12,5.14e+17,2.56e+17,50,-,C,-,X,Ch,-,-,-,-,-,-
375,Ursula,MBA,2.06,1.13,55,D,193.6,2.5,1,7.84e+18,4.28e+18,55,-,C,Xc,-,-,-,Xc,2.29,1.43,62,D
377,Campania,MBA,0.91,0.56,61,D,81.4,9.6,12,2.58e+17,1.29e+17,50,-,PD,Ch,-,-,-,-,-,-,-,-
379,Huenna,MBA,1.28,0.11,9,B,83.0,1.9,2,3.83e+17,1.99e+16,5,-,B,C,-,-,-,C,1.1,0.22,20,C
381,Myrrha,MBA,2.86,1.27,45,C,130.5,3.5,3,3.33e+18,1.46e+18,44,Y,C,Cb,C,X,-,X,9.32,1.64,18,X
385,Ilmatar,MBA,1.68,0.84,50,C,94.8,2.7,3,7.50e+17,3.68e+17,49,-,S,-,-,-,-,-,-,-,-,-
386,Siegena,MBA,2.66,1.15,43,C,169.0,6.5,4,6.73e+18,2.81e+18,42,-,C,C,Caa,Ch,-,Ch,3.14,0.76,24,C
387,Aquitania,MBA,2.25,0.90,40,C,102.2,3.2,3,1.26e+18,4.87e+17,39,-,S,L,-,-,L,L,3.27,1.11,34,C
388,Charybdis,MBA,5.80,3.66,63,D,105.7,11.2,11,3.58e+18,1.95e+18,55,-,C,C,X,X,-,-,-,-,-,-
389,Industria,MBA,2.64,1.34,51,D,79.6,3.9,5,6.99e+17,3.38e+17,48,-,S,S,-,-,S,-,-,-,-,-
393,Lampetia,MBA,2.89,1.65,57,D,108.2,17.0,16,1.92e+18,6.13e+17,32,-,C,Xc,Caa,Ch,-,-,-,-,-,-
404,Arsinoe,MBA,1.63,1.51,93,D,98.8,1.5,2,8.25e+17,7.64e+17,93,-,C,Ch,Caa,B,-,B,7.16,6.38,89,D
405,Thia,MBA,1.31,0.18,13,B,128.4,3.8,3,1.46e+18,1.46e+17,10,-,C,Ch,Caa,Ch,-,Ch,1.44,0.3,21,C
407,Arachne,MBA,1.92,1.07,56,D,88.0,7.6,9,6.85e+17,3.38e+17,49,-,C,-,Caa,Ch,-,-,-,-,-,-
409,Aspasia,MBA,3.62,1.07,30,C,175.3,5.0,3,1.02e+19,2.90e+18,28,Y,CX,Xc,-,-,-,Xc,4.1,0.84,20,C
410,Chloris,MBA,4.96,2.41,49,C,120.8,2.7,2,4.57e+18,2.20e+18,48,Y,C,Ch,-,-,-,Ch,7.72,1.69,22,X
412,Elisabetha,MBA,1.85,0.95,51,D,104.8,5.7,5,1.12e+18,5.42e+17,49,-,-,C,X,X,-,-,-,-,-,-
415,Palatia,MBA,2.48,1.17,47,C,80.1,2.0,3,6.67e+17,3.12e+17,47,-,DP,-,X,Xk,-,-,-,-,-,-
416,Vaticana,MBA,2.51,1.21,48,C,85.8,2.0,2,8.32e+17,3.97e+17,48,-,S,Sl,-,-,-,S,9.44,8.99,95,D
419,Aurelia,MBA,1.80,0.33,18,B,123.4,2.8,2,1.77e+18,2.97e+17,17,-,F,-,C,Cb,-,Cb,1.7,0.35,21,C
420,Bertholda,MBA,4.94,4.44,90,D,141.9,3.1,2,7.39e+18,6.62e+18,90,-,P,-,-,-,-,X,9.96,0.75,8,X
423,Diotima,MBA,1.33,0.46,35,C,215.1,8.7,4,6.94e+18,2.25e+18,32,Y,C,C,-,-,-,C,1.39,0.5,36,C
424,Gratia,MBA,1.30,0.66,50,D,87.5,2.1,2,4.57e+17,2.27e+17,50,-,-,-,X,Xc,-,-,-,-,-,-
426,Hippo,MBA,2.22,0.88,39,C,117.5,12.0,10,1.88e+18,4.69e+17,25,-,F,-,X,X,-,-,-,-,-,-
431,Nephele,MBA,1.86,1.05,57,D,90.5,8.3,9,7.24e+17,3.58e+17,49,-,B,B,B,B,-,-,-,-,-,-
432,Pythia,MBA,2.65,1.78,67,D,41.8,6.3,15,1.01e+17,5.03e+16,50,-,S,S,-,-,-,-,-,-,-,-
433,Eros,NEA,3.01,0.09,3,A,16.2,0.2,1,6.69e+15,2.98e+12,0,-,S,S,-,-,Sw,S,3.0,0.08,3,B
